ItemID                             Last Harvested             Last Modified              Name                
bd60fb8df76242649ea16d6e343f7440   2018-07-04T16:09:32.804Z   2018-07-02T09:26:53.000Z   aws-c4-contextual-prod-graymeta-harvest/2018-07-02/092219/60460_003_002_003.mp4
ed8e3939f04b11469f4b2e88da808d99   2018-07-04T17:17:50.595Z   2018-07-02T09:27:05.000Z   aws-c4-contextual-prod-graymeta-harvest/2018-07-02/092219/61593_001_001_001.mp4
c4c304f02a4e0e62a01c0c5d69f60f76   2018-06-11T16:11:51.883Z   2018-06-11T13:53:04.000Z   aws-c4-contextual-prod-graymeta-harvest/2018-06-11/135303/18_001_001_001.mp4
be4730b6d1efb9c1a0cb34dfda16d15f   2018-07-24T11:18:59.108Z   2018-07-10T13:22:31.000Z   aws-c4-contextual-prod-graymeta-harvest/2018-07-10/142015/52177_001_004_003.mp4
242b0fef75de1cd66df151126d288839   2018-07-24T11:18:45.558Z   2018-07-10T13:23:19.000Z   aws-c4-contextual-prod-graymeta-harvest/2018-07-10/142015/52177_003_003_003.mp4
2fdebd32c3414d771ad4ba5d218b85c9   2018-07-04T16:39:35.446Z   2018-07-02T09:21:36.000Z   aws-c4-contextual-prod-graymeta-harvest/2018-07-02/092219/56409_004_001_001.mp4
2081136df53a29039efa4bc51276ee5e   2018-06-04T14:03:20.953Z   2018-06-04T12:49:56.000Z   aws-c4-contextual-prod-graymeta-content/18_001_001_00foo.mp4
54054be4055a3f20aa08de6a6d47e08a   0001-01-01T00:00:00.000Z   2018-07-13T13:07:55.000Z   aws-c4-contextual-prod-graymeta-harvest/2018-07-13/140747/59639_004_001_003.mp4
23ba1a9d6a2d8c9d340f176794fabb52   0001-01-01T00:00:00.000Z   2018-07-13T13:08:44.000Z   <not harvested> ( s3://https://s3-eu-west-1.amazonaws.com/aws-c4-contextual-prod-graymeta-harvest/2018-07-13/140747/59639_004_004_003.mp4 )
7dd8ffcf7c11491f4e522969eaab4f0c   0001-01-01T00:00:00.000Z   2018-07-13T13:17:54.000Z   <not harvested> ( s3://https://s3-eu-west-1.amazonaws.com/aws-c4-contextual-prod-graymeta-harvest/2018-07-13/140747/67950_001_002_002.mp4 )
d8214da03c28f42c65b845ad4d298841   0001-01-01T00:00:00.000Z   2018-07-10T13:28:17.000Z   aws-c4-contextual-prod-graymeta-harvest/2018-07-10/142015/60347_001_004_002.mp4
dc634c5dba62b4cb30c6898540d9c6af   2018-07-24T11:20:06.746Z   2018-07-10T13:25:09.000Z   aws-c4-contextual-prod-graymeta-harvest/2018-07-10/142015/56459_005_002_004.mp4
f707ba6964766b8002d87c79b04087c5   2018-07-04T17:08:42.104Z   2018-07-02T09:27:56.000Z   aws-c4-contextual-prod-graymeta-harvest/2018-07-02/092219/66300_001_001_002.mp4
aeb158d83815f151c9017381dbc44d67   2018-07-05T15:09:10.916Z   2018-07-05T12:48:11.000Z   aws-c4-contextual-prod-graymeta-harvest/2018-07-05/134545/65067_014_002_003.mp4
e6792eab7fe35a4db3243f3b672b7007   2018-07-24T11:32:28.243Z   2018-07-13T13:14:54.000Z   aws-c4-contextual-prod-graymeta-harvest/2018-07-13/140747/66882_100_001_001.mp4
ad5edadbdf088a949dc60c18e1325611   2018-07-24T11:40:58.413Z   2018-07-10T13:23:36.000Z   aws-c4-contextual-prod-graymeta-harvest/2018-07-10/142015/52177_003_004_003.mp4
59f6a42334825e69119e4d125b1c0573   2018-07-24T11:40:16.208Z   2018-07-10T13:24:38.000Z   aws-c4-contextual-prod-graymeta-harvest/2018-07-10/142015/55813_005_002_001.mp4
87560fbea614f08bba9421cd82147344   2018-07-24T11:25:53.424Z   2018-07-10T13:26:52.000Z   aws-c4-contextual-prod-graymeta-harvest/2018-07-10/142015/60347_001_001_002.mp4
299eca950792eb79ee9430d13512ea6a   2018-07-24T11:27:34.149Z   2018-07-10T08:48:28.000Z   aws-c4-contextual-prod-graymeta-harvest/2018-07-10/094824/66974_004_004_001.mp4
964f96df2791c0439757b4ecb08cc826   2018-07-24T11:26:40.039Z   2018-07-10T13:31:38.000Z   aws-c4-contextual-prod-graymeta-harvest/2018-07-10/142015/64324_001_001_003.mp4
f711131ca879902220604c48b76e5942   2018-07-24T11:31:55.501Z   2018-07-10T13:23:50.000Z   aws-c4-contextual-prod-graymeta-harvest/2018-07-10/142015/54461_001_001_002.mp4
3afc6fd6c9c02631018974f55969a2ec   2018-07-24T11:44:13.329Z   2018-07-13T13:12:48.000Z   aws-c4-contextual-prod-graymeta-harvest/2018-07-13/140747/66108_002_003_002.mp4
27603f6e2fab847ff2ad360e8c20be49   2018-07-24T11:46:33.380Z   2018-07-13T13:08:27.000Z   aws-c4-contextual-prod-graymeta-harvest/2018-07-13/140747/59639_004_003_003.mp4
fce0943ac9057c572afe606a2896a54c   2018-07-24T11:49:09.633Z   2018-07-10T13:19:53.000Z   aws-c4-contextual-prod-graymeta-harvest/2018-07-10/142015/35925_001_002_002.mp4
1d3ec263f624daa1f9d04863c6859f8b   2018-07-24T11:50:38.819Z   2018-07-13T13:07:28.000Z   aws-c4-contextual-prod-graymeta-harvest/2018-07-13/140747/58313_004_001_001.mp4
1bdc4b4df5e46f283c433ccf169b8893   2018-07-24T11:58:26.526Z   2018-07-13T13:07:11.000Z   aws-c4-contextual-prod-graymeta-harvest/2018-07-13/140747/47156_006_002_003.mp4
7b96fb5203ecd272135bf09808be1b6c   0001-01-01T00:00:00.000Z   2018-07-24T14:44:38.000Z   <not harvested> ( s3://https://s3-eu-west-1.amazonaws.com/aws-c4-contextual-prod-graymeta-harvest/2018-07-24/090000/67830_013_004_001.mp4 )
df507a996e100f248b866c34864f53df   2018-07-26T14:52:17.080Z   2018-07-26T13:39:56.000Z   aws-c4-contextual-prod-graymeta-harvest/2018-07-26/144124/66974_004_001_001.mp4
